0:0.093,0.704,0.963,1.000,0.685,0.667,0.481,0.333,0.333,0.796,0.759,0.000,0.000,0.000,0.444,0.926,0.407,0.333,0.407,0.796,0.407,0.944,1.000,0.815,0.278
0:0.129,0.714,0.943,0.957,0.557,0.700,0.386,0.157,0.157,0.729,0.629,0.000,0.000,0.000,0.500,0.714,0.014,0.000,0.071,0.743,0.557,0.914,0.857,0.914,0.329
0:0.133,0.783,1.000,0.900,0.400,0.667,0.250,0.033,0.183,0.700,0.583,0.000,0.000,0.000,0.400,0.717,0.067,0.000,0.033,0.667,0.333,0.917,1.000,0.933,0.400
0:0.139,0.694,0.917,0.722,0.167,0.722,0.556,0.278,0.417,0.778,0.667,0.000,0.000,0.000,0.556,0.611,0.000,0.000,0.000,0.472,0.611,0.222,0.000,0.278,0.778
0:0.148,0.722,0.963,0.944,0.556,0.833,0.963,0.833,0.722,0.944,0.907,0.074,0.000,0.000,0.407,0.833,0.222,0.167,0.333,0.852,0.630,1.000,1.000,1.000,0.870
0:0.150,0.725,0.950,0.900,0.550,0.750,0.375,0.200,0.200,0.650,0.725,0.000,0.000,0.000,0.250,0.750,0.175,0.000,0.050,0.575,0.275,0.825,1.000,1.000,0.650
0:0.156,0.733,1.000,0.844,0.244,0.689,0.333,0.200,0.267,0.733,0.622,0.000,0.000,0.000,0.600,0.644,0.000,0.000,0.000,0.644,0.711,0.533,0.400,0.600,0.711
0:0.171,0.771,0.971,0.800,0.343,0.800,0.343,0.200,0.343,0.800,0.600,0.000,0.000,0.000,0.286,0.829,0.057,0.000,0.000,0.400,0.400,0.971,0.829,0.857,0.771
0:0.183,0.783,0.967,0.783,0.183,0.683,0.250,0.167,0.267,0.683,0.600,0.000,0.000,0.000,0.600,0.617,0.000,0.000,0.000,0.617,0.667,0.583,0.500,0.583,0.617
0:0.185,0.741,0.944,0.833,0.481,0.759,0.315,0.167,0.204,0.685,0.593,0.000,0.000,0.000,0.148,0.630,0.000,0.000,0.000,0.241,0.667,0.630,0.500,0.519,0.852
0:0.188,0.812,1.000,0.875,0.281,0.688,0.219,0.000,0.156,0.719,0.625,0.000,0.000,0.000,0.406,0.594,0.000,0.000,0.000,0.469,0.656,0.594,0.500,0.562,0.750
