0:0.093,0.704,0.963,1.000,0.685,0.667,0.481,0.333,0.333,0.796,0.759,0.000,0.000,0.000,0.444,0.926,0.407,0.333,0.407,0.796,0.407,0.944,1.000,0.815,0.278
0:0.148,0.722,0.963,0.944,0.556,0.833,0.963,0.833,0.722,0.944,0.907,0.074,0.000,0.000,0.407,0.833,0.222,0.167,0.333,0.852,0.630,1.000,1.000,1.000,0.870
0:0.156,0.733,1.000,0.844,0.244,0.689,0.333,0.200,0.267,0.733,0.622,0.000,0.000,0.000,0.600,0.644,0.000,0.000,0.000,0.644,0.711,0.533,0.400,0.600,0.711
0:0.171,0.771,0.971,0.800,0.343,0.800,0.343,0.200,0.343,0.800,0.600,0.000,0.000,0.000,0.286,0.829,0.057,0.000,0.000,0.400,0.400,0.971,0.829,0.857,0.771
0:0.200,0.800,1.000,0.850,0.350,0.700,0.325,0.200,0.300,0.800,0.625,0.000,0.000,0.000,0.300,0.650,0.000,0.000,0.000,0.300,0.600,0.700,0.450,0.475,0.825
0:0.200,0.800,1.000,0.900,0.383,0.733,0.217,0.000,0.117,0.750,0.600,0.000,0.000,0.000,0.467,0.733,0.050,0.000,0.050,0.733,0.417,1.000,1.000,1.000,0.433
0:0.200,0.825,1.000,0.850,0.400,0.775,0.350,0.200,0.300,0.775,0.725,0.000,0.000,0.000,0.175,0.725,0.000,0.000,0.000,0.125,0.575,0.600,0.375,0.275,0.650
0:0.200,0.850,1.000,0.975,0.575,0.750,0.375,0.200,0.200,0.700,0.750,0.000,0.000,0.000,0.175,0.750,0.000,0.000,0.000,0.225,0.600,0.700,0.400,0.500,0.875
0:0.200,0.900,1.000,0.900,0.225,0.725,0.250,0.200,0.300,0.800,0.625,0.000,0.000,0.000,0.575,0.750,0.000,0.000,0.000,0.675,0.500,0.900,0.800,0.875,0.500
0:0.204,0.778,0.963,0.796,0.259,0.759,0.352,0.167,0.352,0.796,0.630,0.000,0.000,0.000,0.593,0.685,0.019,0.000,0.000,0.741,0.481,0.889,0.833,0.889,0.667
0:0.222,0.833,1.000,0.944,0.556,0.796,0.296,0.167,0.185,0.704,0.704,0.000,0.000,0.000,0.333,0.815,0.111,0.000,0.056,0.648,0.352,0.963,1.000,1.000,0.648
0:0.222,0.852,1.000,0.944,0.426,0.685,0.259,0.167,0.204,0.778,0.593,0.000,0.000,0.000,0.444,0.704,0.019,0.000,0.019,0.648,0.444,0.963,0.833,0.944,0.500
0:0.225,0.800,1.000,0.875,0.275,0.725,0.250,0.000,0.150,0.700,0.525,0.000,0.000,0.000,0.625,0.650,0.000,0.000,0.050,0.700,0.525,0.850,0.800,0.950,0.425
0:0.225,0.900,1.000,0.925,0.475,0.750,0.225,0.000,0.175,0.775,0.650,0.000,0.000,0.000,0.400,0.800,0.025,0.000,0.000,0.650,0.475,0.925,0.800,0.850,0.675
0:0.241,0.796,1.000,0.833,0.315,0.704,0.204,0.000,0.130,0.722,0.648,0.000,0.000,0.000,0.444,0.704,0.111,0.000,0.056,0.685,0.241,0.889,1.000,0.944,0.407
0:0.241,0.852,1.000,0.852,0.259,0.722,0.222,0.111,0.204,0.741,0.574,0.000,0.000,0.000,0.556,0.722,0.111,0.000,0.093,0.722,0.296,0.870,1.000,0.907,0.315
0:0.243,0.814,0.986,0.886,0.457,0.800,0.271,0.143,0.200,0.729,0.614,0.000,0.000,0.000,0.314,0.743,0.014,0.000,0.000,0.471,0.457,0.914,0.771,0.871,0.800
0:0.250,0.817,0.983,0.767,0.183,0.783,0.283,0.167,0.333,0.733,0.600,0.000,0.000,0.000,0.583,0.700,0.000,0.000,0.000,0.633,0.533,0.800,0.667,0.717,0.700
0:0.258,0.909,1.000,0.909,0.273,0.697,0.136,0.000,0.182,0.727,0.606,0.000,0.000,0.000,0.621,0.667,0.000,0.000,0.000,0.652,0.530,0.848,0.667,0.803,0.561
0:0.278,0.870,1.000,0.852,0.315,0.741,0.167,0.000,0.148,0.741,0.667,0.000,0.000,0.000,0.463,0.704,0.148,0.000,0.056,0.722,0.241,0.852,1.000,0.926,0.407
0:0.289,0.889,1.000,0.756,0.133,0.778,0.333,0.200,0.444,0.711,0.667,0.000,0.000,0.000,0.667,0.689,0.000,0.000,0.000,0.711,0.556,0.800,0.600,0.689,0.733
0:0.315,0.889,1.000,0.833,0.333,0.759,0.130,0.000,0.185,0.759,0.667,0.000,0.000,0.000,0.407,0.722,0.259,0.037,0.074,0.667,0.185,0.759,0.981,0.926,0.481
0:0.325,0.950,1.000,0.925,0.375,0.700,0.150,0.000,0.150,0.775,0.725,0.000,0.000,0.000,0.450,0.700,0.025,0.000,0.000,0.575,0.425,0.900,0.650,0.725,0.750
0:0.325,0.950,1.000,0.925,0.375,0.725,0.125,0.000,0.150,0.775,0.625,0.000,0.000,0.000,0.500,0.750,0.000,0.000,0.000,0.575,0.475,0.875,0.800,0.825,0.675
0:0.333,0.907,1.000,0.889,0.426,0.778,0.130,0.000,0.111,0.667,0.630,0.000,0.000,0.000,0.222,0.704,0.148,0.000,0.000,0.444,0.185,0.796,1.000,0.981,0.667
1:0.292,0.333,0.000,0.000,0.000,0.500,0.167,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.833,0.333,0.333,0.333,0.333,1.000,1.000,1.000,1.000,1.000
1:0.325,0.425,0.000,0.000,0.000,0.525,0.275,0.000,0.000,0.000,0.700,0.100,0.000,0.000,0.000,0.875,0.500,0.500,0.500,0.500,1.000,1.000,1.000,1.000,1.000
